,movie,year,imdb,metascore,votes,n_imdb
0,Inception,2010,8.8,74,1799695,88.0
1,Shutter Island,2010,8.1,63,983982,81.0
2,Toy Story 3,2010,8.3,92,667157,83.0
3,Black Swan,2010,8.0,79,638580,80.0
4,Iron Man 2,2010,7.0,57,633681,70.0
5,How to Train Your Dragon,2010,8.1,74,595638,81.0
6,The King's Speech,2010,8.0,88,584869,80.0
7,The Social Network,2010,7.7,95,560871,77.0
8,Kick-Ass,2010,7.6,66,491089,76.0
9,Despicable Me,2010,7.7,72,456440,77.0
10,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,415351,77.0
11,Tangled,2010,7.8,71,358425,78.0
12,Alice in Wonderland,2010,6.5,53,353451,65.0
13,Scott Pilgrim vs. the World,2010,7.5,69,331928,75.0
14,Easy A,2010,7.1,72,324718,71.0
15,127 Hours,2010,7.6,82,319032,76.0
16,The Town,2010,7.6,74,318372,76.0
17,The Fighter,2010,7.8,79,312613,78.0
18,The Expendables,2010,6.5,45,304315,65.0
19,Due Date,2010,6.6,51,300267,66.0
20,TRON: Legacy,2010,6.8,49,292660,68.0
21,True Grit,2010,7.6,80,279638,76.0
22,Salt,2010,6.4,65,274457,64.0
23,RED,2010,7.1,60,268487,71.0
24,The Book of Eli,2010,6.9,53,267072,69.0
25,Clash of the Titans,2010,5.8,39,253262,58.0
26,Prince of Persia: The Sands of Time,2010,6.6,50,251286,66.0
27,Insidious,2010,6.9,52,249062,69.0
28,Robin Hood,2010,6.7,53,236953,67.0
29,The A-Team,2010,6.8,47,233044,68.0
30,The Other Guys,2010,6.7,64,218263,67.0
31,The Twilight Saga: Eclipse,2010,5.0,58,208612,50.0
32,Grown Ups,2010,6.0,30,207311,60.0
33,The Tourist,2010,6.0,37,204038,60.0
34,Megamind,2010,7.3,63,203939,73.0
35,Predators,2010,6.4,51,197026,64.0
36,Machete,2010,6.6,60,180656,66.0
37,Unstoppable,2010,6.8,69,170865,68.0
38,Knight and Day,2010,6.3,46,168068,63.0
39,Blue Valentine,2010,7.4,81,167676,74.0
40,The Next Three Days,2010,7.4,52,165338,74.0
41,Love & Other Drugs,2010,6.7,55,165204,67.0
42,Shrek Forever After,2010,6.3,58,163980,63.0
43,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,162846,59.0
44,Get Him to the Greek,2010,6.4,65,160290,64.0
45,Hot Tub Time Machine,2010,6.4,63,152544,64.0
46,Inception,2010,8.8,74,1799695,88.0
47,Shutter Island,2010,8.1,63,983982,81.0
48,Toy Story 3,2010,8.3,92,667157,83.0
49,Black Swan,2010,8.0,79,638580,80.0
50,Iron Man 2,2010,7.0,57,633681,70.0
51,How to Train Your Dragon,2010,8.1,74,595638,81.0
52,The King's Speech,2010,8.0,88,584869,80.0
